Год,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ВВП,"7,306","8,944","10,831","13,208","17,027","21,610","26,917","33,248","41,277","38,807","46,309","60,114","68,103","72,986","79,030","83,087","86,043","91,843","103,862","109,608","107,315","109,608","116,224",
Безработица,"10,558 ","8,942 ","8,042 ","8,233 ","7,733 ","7,15 ","7,05 ","6,025 ","6,233 ","8,242 ","7,358 ","6,508 ","5,45 ","5,5 ","5,158 ","5,575 ","5,525 ","5,2 ","4,8 ","4,6 ","5,783 ","5,6 ",,
Граница бедности,1 210,1 500,1 808,2 112,2 376,3 018,3 422,3 847,4 593,5 153,5 688,6 369,6 510,7 306,8 050,9 701,9 828,10 088,10 287,10 890,11 312,11 908,13 545,14201
